company,meeting_date,meeting_type,motion_number,proposal,management_recommendation,hesta_vote,year,source
Lifestyle Communities Limited,2021-11-16,Annual,4,Re-elect David Blight,For,For,2021,glasslewis_detail
Lifestyle Communities Limited,2020-11-18,Annual,2,REMUNERATION REPORT,For,For,2020,glasslewis_detail
Lifestyle Communities Limited,2020-11-18,Annual,3,Re-elect Georgina Williams,For,For,2020,glasslewis_detail
Lifestyle Communities Limited,2020-11-18,Annual,4,Elect Mark Sutherland Blackburn,For,For,2020,glasslewis_detail
Lifestyle Communities Limited,2020-11-18,Annual,5,Amendments to Constitution,For,For,2020,glasslewis_detail
Lifestyle Communities Limited,2019-11-18,Annual,2,REMUNERATION REPORT,For,For,2019,glasslewis_detail
Lifestyle Communities Limited,2019-11-18,Annual,3,Re-elect Nicola Roxon,For,For,2019,glasslewis_detail
Lifestyle Communities Limited,2019-11-18,Annual,4,Appoint Auditor,For,For,2019,glasslewis_detail
Lifestyle Communities Limited,2018-11-19,Annual,2,REMUNERATION REPORT,For,For,2018,glasslewis_detail
Lifestyle Communities Limited,2018-11-19,Annual,3,Elect David Blight,For,For,2018,glasslewis_detail
Lifestyle Communities Limited,2018-11-19,Annual,4,Re-elect Philippa Kelly,For,For,2018,glasslewis_detail
Lifestyle Communities Limited,2017-11-28,Annual,3,REMUNERATION REPORT,For,For,2017,glasslewis_detail
Lifestyle Communities Limited,2017-11-28,Annual,4,Elect Nicola Roxon,For,For,2017,glasslewis_detail
Lifestyle Communities Limited,2017-11-28,Annual,5,Elect Georgina Williams,For,For,2017,glasslewis_detail
Lifestyle Communities Limited,2017-11-28,Annual,6,Re-elect Timothy M. Poole,For,For,2017,glasslewis_detail
Lifestyle Communities Limited,2016-11-29,Annual,3,REMUNERATION REPORT,For,For,2016,glasslewis_detail
Lifestyle Communities Limited,2016-11-29,Annual,4,Re-elect Philippa Kelly,For,For,2016,glasslewis_detail
Lifestyle Communities Limited,2016-11-29,Annual,5,Re-elect Bruce Carter,For,For,2016,glasslewis_detail
Light & Wonder Inc,2025-06-10,Annual,2,Advisory Vote on Executive Compensation,For,For,2025,glasslewis_detail
Light & Wonder Inc,2025-06-10,Annual,3,Amendment to the 2003 Incentive Compensation Plan,For,For,2025,glasslewis_detail
Light & Wonder Inc,2025-06-10,Annual,4,Ratification of Auditor,For,For,2025,glasslewis_detail
Light & Wonder Inc,2024-06-06,Annual,2,Advisory Vote on Executive Compensation,For,For,2024,glasslewis_detail
Light & Wonder Inc,2024-06-06,Annual,3,Ratification of Auditor,For,For,2024,glasslewis_detail
Link Administration Holdings Limited,2024-04-24,Court,1,Scheme of Arrangement (Acquisition by Mitsubishi UFJ Trust & Banking Corporation),For,For,2024,glasslewis_detail
Link Administration Holdings Limited,2023-11-28,Annual,1,Elect Mark Lennon,For,For,2023,glasslewis_detail
Link Administration Holdings Limited,2023-11-28,Annual,2,REMUNERATION REPORT,For,Against,2023,glasslewis_detail
Link Administration Holdings Limited,2023-11-28,Annual,3,Equity Grant (MD/CEO Vivek Bhatia),For,For,2023,glasslewis_detail
Link Administration Holdings Limited,2022-12-23,Special,1,Cancellation of Shares,For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2022-11-30,Annual,1,Re-elect Michael Carapiet,For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2022-11-30,Annual,2,Re-elect Anne M. McDonald,For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2022-11-30,Annual,3,REMUNERATION REPORT,For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2022-11-30,Annual,4,Equity Grant (MD/CEO Vivek Bhatia),For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2022-11-30,Annual,5,Board Spill,Against,Against,2022,glasslewis_detail
Link Administration Holdings Limited,2022-08-22,Mix,1,Amendment to Scheme of Arrangement,For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2022-08-22,Mix,2,Acquisition by Dye & Durham Limited,For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2022-08-22,Mix,3,Capital Return,For,For,2022,glasslewis_detail
Link Administration Holdings Limited,2021-11-23,Annual,1,Re-elect Glen F. Boreham,For,For,2021,glasslewis_detail
Link Administration Holdings Limited,2021-11-23,Annual,2,Re-elect Andrew J. Green,For,For,2021,glasslewis_detail
Link Administration Holdings Limited,2021-11-23,Annual,3,Re-elect Fiona Trafford-Walker,For,For,2021,glasslewis_detail
Link Administration Holdings Limited,2021-11-23,Annual,4,REMUNERATION REPORT,For,Against,2021,glasslewis_detail
Link Administration Holdings Limited,2021-11-23,Annual,5,Equity Grant (MD/CEO Vivek Bhatia),For,For,2021,glasslewis_detail
Link Administration Holdings Limited,2021-11-23,Annual,6,Renew Proportional Takeover Provisions,For,For,2021,glasslewis_detail
Link Administration Holdings Limited,2020-10-27,Annual,1,Re-elect Peeyush K. Gupta,For,For,2020,glasslewis_detail
Link Administration Holdings Limited,2020-10-27,Annual,2,Re-elect Sally A.M. Pitkin,For,For,2020,glasslewis_detail
Link Administration Holdings Limited,2020-10-27,Annual,3,REMUNERATION REPORT,For,For,2020,glasslewis_detail
Link Administration Holdings Limited,2020-10-27,Annual,4,Approve Omnibus Equity Plan,For,For,2020,glasslewis_detail
Link Administration Holdings Limited,2020-10-27,Annual,5,Equity Grant (MD/CEO Vivek Bhatia),For,For,2020,glasslewis_detail
Link Administration Holdings Limited,2020-10-27,Annual,6,AMENDMENTS TO CONSTITUTION,For,For,2020,glasslewis_detail
Link Administration Holdings Limited,2019-11-15,Annual,1,Re-elect Michael Carapiet,For,For,2019,glasslewis_detail
Link Administration Holdings Limited,2019-11-15,Annual,2,Re-elect Anne M. McDonald,For,For,2019,glasslewis_detail
Link Administration Holdings Limited,2019-11-15,Annual,3,REMUNERATION REPORT,For,For,2019,glasslewis_detail
Link Administration Holdings Limited,2019-11-15,Annual,4,Equity Grant (MD John McMurtrie),For,For,2019,glasslewis_detail
Link Administration Holdings Limited,2018-11-16,Annual,1,Elect Andrew (Andy) J. Green,For,For,2018,glasslewis_detail
Link Administration Holdings Limited,2018-11-16,Annual,2,Re-elect Glen F. Boreham,For,For,2018,glasslewis_detail
Link Administration Holdings Limited,2018-11-16,Annual,3,Re-elect Fiona Trafford-Walker,For,For,2018,glasslewis_detail
Link Administration Holdings Limited,2018-11-16,Annual,4,REMUNERATION REPORT,For,For,2018,glasslewis_detail
Link Administration Holdings Limited,2018-11-16,Annual,5,Equity Grant (MD John McMurtrie),For,For,2018,glasslewis_detail
Link Administration Holdings Limited,2018-11-16,Annual,6,Ratify Placement of Securities,For,For,2018,glasslewis_detail
Link Administration Holdings Limited,2018-11-16,Annual,7,Renew Partial Takeover Provisions,For,For,2018,glasslewis_detail
Link Administration Holdings Limited,2017-11-01,Annual,1,Elect Peeyush K. Gupta,For,For,2017,glasslewis_detail
Link Administration Holdings Limited,2017-11-01,Annual,2,Re-elect Sally A. M. Pitkin,For,For,2017,glasslewis_detail
Link Administration Holdings Limited,2017-11-01,Annual,3,Remuneration Report,For,For,2017,glasslewis_detail
Link Administration Holdings Limited,2017-11-01,Annual,4,Approve Omnibus Equity Plan,For,For,2017,glasslewis_detail
Link Administration Holdings Limited,2017-11-01,Annual,5,Equity Grant (MD John McMurtrie),For,For,2017,glasslewis_detail
Link Administration Holdings Limited,2016-11-18,Annual,1,Elect Anne McDonald,For,For,2016,glasslewis_detail
Link Administration Holdings Limited,2016-11-18,Annual,2,Re-elect Michael Carapiet,For,For,2016,glasslewis_detail
Link Administration Holdings Limited,2016-11-18,Annual,3,REMUNERATION REPORT,For,For,2016,glasslewis_detail
Link Administration Holdings Limited,2016-11-18,Annual,4,Approve Omnibus Equity Plan,For,For,2016,glasslewis_detail
Link Administration Holdings Limited,2016-11-18,Annual,5,Equity Grant (MD John McMurtrie),For,For,2016,glasslewis_detail
Link Administration Holdings Limited,2016-11-18,Annual,6,Appoint Auditor,For,For,2016,glasslewis_detail
Link Net Tbk PT,2018-01-15,Special,1,Amendments to Articles,For,For,2018,glasslewis_detail
Link Net Tbk PT,2018-01-15,Special,2,Authority to Repurchase Shares,For,For,2018,glasslewis_detail
Link Net Tbk PT,2017-04-21,Annual,1,Accounts and Reports,For,For,2017,glasslewis_detail
Link Net Tbk PT,2017-04-21,Annual,2,Allocation of Profits/Dividends,For,For,2017,glasslewis_detail
Link Net Tbk PT,2017-04-21,Annual,3,Appointment of Auditor and Authority to Set Fees,For,Against,2017,glasslewis_detail
Link Net Tbk PT,2017-04-21,Annual,4,Election of Directors and/or Commissioners and Authority to Set Fees,For,Against,2017,glasslewis_detail
Liontown Resources Ltd,2025-09-23,Ordinary,1,Ratify Placement of Securities,For,For,2025,glasslewis_detail
Liontown Resources Ltd,2025-09-23,Ordinary,2,"Approve Issue of Securities (Canmax Technologies Co., Ltd.)",For,For,2025,glasslewis_detail
Liontown Resources Ltd,2025-09-23,Ordinary,3,Approve Issue of Securities (Conditional Placement Participants),For,For,2025,glasslewis_detail
Liontown Resources Ltd,2024-11-27,Annual,1,REMUNERATION REPORT,N/A,For,2024,glasslewis_detail
Liontown Resources Ltd,2024-11-27,Annual,2,Re-elect Timothy (Tim) R.B. Goyder,For,For,2024,glasslewis_detail
Liontown Resources Ltd,2024-11-27,Annual,3,Re-elect Jennifer (Jenn) Morris,For,For,2024,glasslewis_detail
Liontown Resources Ltd,2024-11-27,Annual,4,Elect Ian Wells,For,For,2024,glasslewis_detail
Liontown Resources Ltd,2024-11-27,Annual,5,Ratify Placement of Securities,For,For,2024,glasslewis_detail
Liontown Resources Ltd,2024-11-27,Annual,6,Equity Grant (MD/CEO Antonino Ottaviano),For,For,2024,glasslewis_detail
Liontown Resources Ltd,2024-11-27,Annual,7,Renew Employee Securities Incentive Plan,N/A,For,2024,glasslewis_detail
Liontown Resources Ltd,2023-11-30,Annual,1,REMUNERATION REPORT,N/A,For,2023,glasslewis_detail
Liontown Resources Ltd,2023-11-30,Annual,2,Re-elect Craig R. Williams,For,Against,2023,glasslewis_detail
Liontown Resources Ltd,2023-11-30,Annual,3,Ratify Placement of Securities,For,For,2023,glasslewis_detail
Liontown Resources Ltd,2023-11-30,Annual,4,Approve Issue of Securities (Director Placement - Chair Tim Goyder),For,For,2023,glasslewis_detail
Liontown Resources Ltd,2023-11-30,Annual,5,Equity Grant (MD/CEO Antonino Ottaviano),For,For,2023,glasslewis_detail
Liontown Resources Ltd,2022-11-22,Annual,1,REMUNERATION REPORT,N/A,For,2022,glasslewis_detail
Liontown Resources Ltd,2022-11-22,Annual,2,Re-elect Anthony Cipriano,For,For,2022,glasslewis_detail
Liontown Resources Ltd,2022-11-22,Annual,3,Elect Shane McLeay,For,For,2022,glasslewis_detail
Liontown Resources Ltd,2022-11-22,Annual,4,Elect Adrienne Parker,For,For,2022,glasslewis_detail
Liontown Resources Ltd,2022-11-22,Annual,5,Equity Grant (MD/CEO Antonino Ottaviano),For,For,2022,glasslewis_detail
Liontown Resources Ltd,2022-11-22,Annual,6,Appointment of Auditor,For,For,2022,glasslewis_detail
Liontown Resources Ltd,2021-09-22,Ordinary,1,Amendment to Constitution,For,For,2021,glasslewis_detail
Liontown Resources Ltd,2021-09-22,Ordinary,2,Reduction in Share Capital Pursuant to Demerger,For,For,2021,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,1,REMUNERATION REPORT,For,For,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,2,Re-elect Richard J. Beresford,For,For,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,3,Re-elect Michael D. Steuert,For,For,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,4,Issue of Securities (Incentive Rights Plan),For,Against,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,5,Equity Grant (MD/CEO Gregory M. Vesey,For,Against,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,6,Equity Grant (NED Paul J. Cavicchi),For,Against,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,7,Equity Grant (NED Richard J. Beresford),For,Against,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,8,Equity Grant (NED Leeanne K. Bond),For,Against,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,9,Equity Grant (NED Douglas M. Steuert),For,Against,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,10,Equity Grant (NED Philip D. Moeller),For,Against,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,11,Ratify Placement of Securities,For,For,2018,glasslewis_detail
Liquefied Natural Gas Ltd,2018-11-15,Annual,12,Board Spill,Against,Against,2018,glasslewis_detail
Lovisa Holdings Limited,2024-11-22,Annual,2,Remuneration Report,For,Against,2024,glasslewis_detail
Lovisa Holdings Limited,2024-11-22,Annual,3,Re-elect Brett Blundy,For,For,2024,glasslewis_detail
Lovisa Holdings Limited,2024-11-22,Annual,4,Amendment to the Constitution (Increase in Maximum Number of Directors),For,For,2024,glasslewis_detail
Lovisa Holdings Limited,2024-11-22,Annual,5,Approve Increase in NEDs' Fee Cap,N/A,For,2024,glasslewis_detail
Lovisa Holdings Limited,2024-11-22,Annual,6,Board Spill (Conditional),Against,Against,2024,glasslewis_detail
Lovisa Holdings Limited,2023-11-22,Annual,2,Remuneration Report,For,Against,2023,glasslewis_detail
Lovisa Holdings Limited,2023-11-22,Annual,4,Renew Proportional Takeover Provisions,For,For,2023,glasslewis_detail
Lovisa Holdings Limited,2023-11-22,Annual,5,Approve Increase in NEDs' Fee Cap,N/A,For,2023,glasslewis_detail
Lovisa Holdings Limited,2022-11-18,Annual,2,Remuneration Report,For,Against,2022,glasslewis_detail
Lovisa Holdings Limited,2022-11-18,Annual,4,Board Spill Resolution,Against,Against,2022,glasslewis_detail
Lovisa Holdings Limited,2020-10-20,Annual,2,Remuneration Report,For,For,2020,glasslewis_detail
Lovisa Holdings Limited,2020-10-20,Annual,4,Renew Proportional Takeover Provisions,For,For,2020,glasslewis_detail
Lovisa Holdings Limited,2020-10-20,Annual,5,Equity Grant (MD Shane Fallscheer),For,For,2020,glasslewis_detail
Lovisa Holdings Limited,2020-10-20,Annual,6,Board Spill Resolution,Against,Against,2020,glasslewis_detail
Lovisa Holdings Limited,2017-10-31,Annual,2,Remuneration Report,For,For,2017,glasslewis_detail
Lovisa Holdings Limited,2017-10-31,Annual,3,Re-elect Tracey Blundy,For,For,2017,glasslewis_detail
Lovisa Holdings Limited,2017-10-31,Annual,4,Equity Grant (MD Shane Fallscheer),For,For,2017,glasslewis_detail
Lovisa Holdings Limited,2017-10-31,Annual,5,Renew Proportional Takeover Provisions,For,For,2017,glasslewis_detail
Lovisa Holdings Limited,2017-10-31,Annual,6,Amendments to Constitution,For,For,2017,glasslewis_detail
Lovisa Holdings Limited,2016-10-25,Annual,2,Remuneration Report,For,For,2016,glasslewis_detail
Lynas Rare Earths Limited,2024-11-27,Annual,1,REMUNERATION REPORT,For,For,2024,glasslewis_detail
Lynas Rare Earths Limited,2024-11-27,Annual,2,Re-elect Philippe G. Etienne,For,For,2024,glasslewis_detail
Lynas Rare Earths Limited,2024-11-27,Annual,3,Equity Grant (MD/CEO Amanda Lacaze),For,For,2024,glasslewis_detail
Lynas Rare Earths Limited,2023-11-29,Annual,1,REMUNERATION REPORT,For,For,2023,glasslewis_detail
Lynas Rare Earths Limited,2023-11-29,Annual,2,Re-elect John S. Humphrey,For,For,2023,glasslewis_detail
Lynas Rare Earths Limited,2023-11-29,Annual,3,Re-elect Grant B. Murdoch,For,For,2023,glasslewis_detail
Lynas Rare Earths Limited,2023-11-29,Annual,4,Re-elect Vanessa A. Guthrie,For,For,2023,glasslewis_detail
Lynas Rare Earths Limited,2023-11-29,Annual,5,Elect John R. Beevers,For,For,2023,glasslewis_detail
Lynas Rare Earths Limited,2023-11-29,Annual,6,Renew Performance Rights Plan,For,For,2023,glasslewis_detail
Lynas Rare Earths Limited,2023-11-29,Annual,7,Equity Grant (MD/CEO Amanda Lacaze),For,For,2023,glasslewis_detail
Lynas Rare Earths Limited,2022-11-29,Annual,1,REMUNERATION REPORT,For,For,2022,glasslewis_detail
Lynas Rare Earths Limited,2022-11-29,Annual,2,Re-elect Kathleen M. Conlon,For,For,2022,glasslewis_detail
Lynas Rare Earths Limited,2022-11-29,Annual,3,Equity Grant (MD/CEO Amanda Lacaze),For,For,2022,glasslewis_detail
Lynas Rare Earths Limited,2022-11-29,Annual,4,Approve Increase in NEDs' Fee Cap,N/A,For,2022,glasslewis_detail
Lynas Rare Earths Limited,2021-11-29,Annual,1,REMUNERATION REPORT,For,For,2021,glasslewis_detail
Lynas Rare Earths Limited,2021-11-29,Annual,2,Re-elect Philippe G. Etienne,For,For,2021,glasslewis_detail
Lynas Rare Earths Limited,2021-11-29,Annual,3,Equity Grant (MD/CEO Amanda Lacaze),For,For,2021,glasslewis_detail
Lynas Rare Earths Limited,2020-11-26,Annual,1,REMUNERATION REPORT,For,For,2020,glasslewis_detail
Lynas Rare Earths Limited,2020-11-26,Annual,2,Re-elect John S. Humphrey,For,For,2020,glasslewis_detail
Lynas Rare Earths Limited,2020-11-26,Annual,3,Re-elect Grant B. Murdoch,For,For,2020,glasslewis_detail
Lynas Rare Earths Limited,2020-11-26,Annual,4,Elect Vanessa A. Guthrie,For,For,2020,glasslewis_detail
Lynas Rare Earths Limited,2020-11-26,Annual,5,Renew Performance Rights Plan,For,For,2020,glasslewis_detail
Lynas Rare Earths Limited,2020-11-26,Annual,6,Equity Grant (MD/CEO Amanda Lacaze),For,For,2020,glasslewis_detail
Lynas Rare Earths Limited,2020-11-26,Annual,7,Change in Company Name and Amendments to Constitution,For,For,2020,glasslewis_detail
Lynas Rare Earths Limited,2019-11-26,Annual,1,REMUNERATION REPORT,For,For,2019,glasslewis_detail
Lynas Rare Earths Limited,2019-11-26,Annual,2,Re-elect Kathleen Conlon,For,For,2019,glasslewis_detail
Lynas Rare Earths Limited,2019-11-26,Annual,3,Equity Grant (MD/CEO Amanda Lacaze),For,For,2019,glasslewis_detail
Lynas Rare Earths Limited,2018-11-27,Annual,1,REMUNERATION REPORT,For,For,2018,glasslewis_detail
Lynas Rare Earths Limited,2018-11-27,Annual,2,Re-elect Mike Harding,For,For,2018,glasslewis_detail
Lynas Rare Earths Limited,2018-11-27,Annual,3,Re-elect Philippe Etienne,For,For,2018,glasslewis_detail
Lynas Rare Earths Limited,2018-11-27,Annual,4,AMENDMENTS TO CONSTITUTION,For,For,2018,glasslewis_detail
Lynas Rare Earths Limited,2018-11-27,Annual,5,Equity Grant (MD/CEO Amanda Lacaze),For,For,2018,glasslewis_detail
MA Financial Group Limited,2025-05-29,Annual,3,Remuneration Report,For,For,2025,glasslewis_detail
MACA Limited,2021-07-09,Ordinary,1,Ratify Placement of Securities,N/A,For,2021,glasslewis_detail
MACA Limited,2021-07-09,Ordinary,2,Adopt New Constitution,N/A,For,2021,glasslewis_detail
MACA Limited,2020-11-19,Annual,1,Remuneration Report,For,For,2020,glasslewis_detail
MACA Limited,2020-11-19,Annual,2,Elect Michael Sutton,For,For,2020,glasslewis_detail
MACA Limited,2020-11-19,Annual,3,Elect Sandra Dodds,For,For,2020,glasslewis_detail
MACA Limited,2020-11-19,Annual,4,Re-elect Geoffrey (Geoff) A. Baker,For,For,2020,glasslewis_detail
MACA Limited,2020-11-19,Annual,5,Equity Grant (MD/CEO Michael Sutton),For,For,2020,glasslewis_detail
MACA Limited,2019-11-14,Annual,1,Remuneration Report,For,For,2019,glasslewis_detail
MACA Limited,2019-11-14,Annual,2,Re-elect Linton J. Kirk,For,Against,2019,glasslewis_detail
MACA Limited,2019-11-14,Annual,3,Re-elect Robert Ryan,For,For,2019,glasslewis_detail
MACA Limited,2019-11-14,Annual,4,Approve Performance Rights Plan,For,For,2019,glasslewis_detail
MACA Limited,2019-11-14,Annual,5,Equity Grant (MD/CEO Chris Tuckwell),For,For,2019,glasslewis_detail
MACA Limited,2019-11-14,Annual,6,Equity Grant (Operations Director Geoff Baker),For,For,2019,glasslewis_detail
MACA Limited,2018-11-14,Annual,1,Remuneration Report,For,For,2018,glasslewis_detail
MACA Limited,2018-11-14,Annual,2,Re-elect Andrew Edwards,For,For,2018,glasslewis_detail
MACA Limited,2018-11-14,Annual,3,Re-elect Geoff Baker,For,For,2018,glasslewis_detail
MACA Limited,2018-11-14,Annual,4,Equity Grant (MD/CEO Chris Tuckwell),For,For,2018,glasslewis_detail
MACA Limited,2018-11-14,Annual,5,Equity Grant (Operations Director Geoff Baker),For,For,2018,glasslewis_detail
MACA Limited,2017-11-14,Annual,1,Remuneration Report,For,For,2017,glasslewis_detail
MACA Limited,2017-11-14,Annual,2,Re-elect Robert Ryan,For,Against,2017,glasslewis_detail
MACA Limited,2017-11-14,Annual,3,Re-elect Linton Kirk,For,Against,2017,glasslewis_detail
MACA Limited,2017-11-14,Annual,4,Equity Grant (MD/CEO Chris Tuckwell),For,For,2017,glasslewis_detail
MACA Limited,2017-11-14,Annual,5,Equity Grant (Operations Director Geoff Baker),For,For,2017,glasslewis_detail
MACA Limited,2017-11-14,Annual,6,Ratify Placement of Shares (Interquip Placement),For,For,2017,glasslewis_detail
MACA Limited,2017-11-14,Annual,7,Ratify Placement of Shares (Capital Raising Placement),For,Against,2017,glasslewis_detail
MACA Limited,2016-11-16,Annual,1,Remuneration Report,For,For,2016,glasslewis_detail
MACA Limited,2016-11-16,Annual,2,Elect Hugh A Edwards,For,For,2016,glasslewis_detail
MACA Limited,2016-11-16,Annual,3,Elect Geoffrey A Baker,For,For,2016,glasslewis_detail
MACA Limited,2016-11-16,Annual,4,Equity Grant (MD/CEO Chris Tuckwell),For,For,2016,glasslewis_detail
MACA Limited,2016-11-16,Annual,5,Equity Grant (Operations Director Geoffrey Baker),For,For,2016,glasslewis_detail
Macmahon Holdings,2021-10-22,Annual,1,Remuneration Report,For,For,2021,glasslewis_detail
Macmahon Holdings,2021-10-22,Annual,2,Elect Denise McComish,For,For,2021,glasslewis_detail
Macmahon Holdings,2021-10-22,Annual,3,Approve Increase in NEDs' Fee Cap,N/A,For,2021,glasslewis_detail
Macmahon Holdings,2020-10-21,Annual,1,Remuneration Report,For,For,2020,glasslewis_detail
Macmahon Holdings,2020-10-21,Annual,2,Re-elect Eva Skira,For,For,2020,glasslewis_detail
Macmahon Holdings,2020-10-21,Annual,3,Re-elect Alexander Ramlie,For,For,2020,glasslewis_detail
Macmahon Holdings,2020-10-21,Annual,4,Re-elect Arief W. Sidarto,For,For,2020,glasslewis_detail
Macmahon Holdings,2020-10-21,Annual,5,Renew Proportional Takeover Provisions,For,For,2020,glasslewis_detail
Macmahon Holdings,2019-11-13,Annual,1,Remuneration Report,For,For,2019,glasslewis_detail
Macmahon Holdings,2019-11-13,Annual,2,Elect Vyril Vella,For,For,2019,glasslewis_detail
Macmahon Holdings,2019-11-13,Annual,3,Elect Bruce Munro,For,For,2019,glasslewis_detail
Macmahon Holdings,2019-11-13,Annual,4,Elect Hamish G. Tyrwhitt,For,For,2019,glasslewis_detail
Macmahon Holdings,2018-11-02,Annual,1,Remuneration Report,For,For,2018,glasslewis_detail
Macmahon Holdings,2018-11-02,Annual,2,Elect Kim Horne,For,For,2018,glasslewis_detail
Macmahon Holdings,2018-11-02,Annual,3,Approve Long-Term Incentive Plan,For,For,2018,glasslewis_detail
Macmahon Holdings,2017-11-30,Annual,1,Remuneration Report,For,For,2017,glasslewis_detail
Macmahon Holdings,2017-11-30,Annual,2,Re-elect Eva Skira,For,For,2017,glasslewis_detail
Macmahon Holdings,2017-11-30,Annual,3,Re-elect Vyril Vella,For,For,2017,glasslewis_detail
Macmahon Holdings,2017-11-30,Annual,4,Elect Alexander Ramlie,For,For,2017,glasslewis_detail
Macmahon Holdings,2017-11-30,Annual,5,Elect Arief W. Sidarto,For,For,2017,glasslewis_detail
Macmahon Holdings,2017-11-30,Annual,6,Renew Proportional Takeover Provisions,For,For,2017,glasslewis_detail
Macmahon Holdings,2017-07-12,Ordinary,1,The AMNT Transaction,For,For,2017,glasslewis_detail
Macquarie Group Ltd,2025-07-24,Annual,3,Remuneration Report,For,Against,2025,glasslewis_detail
Macquarie Group Ltd,2025-07-24,Annual,4,Equity Grant (MD/CEO Shemara Wikramanayake),For,For,2025,glasslewis_detail
Macquarie Group Ltd,2024-07-25,Annual,3,Remuneration Report,For,For,2024,glasslewis_detail
Macquarie Group Ltd,2024-07-25,Annual,4,Equity Grant (Group CEO Shemara Wikramanayake),For,For,2024,glasslewis_detail
Macquarie Group Ltd,2023-07-27,Annual,3,Remuneration Report,For,For,2023,glasslewis_detail
Macquarie Group Ltd,2023-07-27,Annual,4,Approve Termination Benefits,For,For,2023,glasslewis_detail
Macquarie Group Ltd,2023-07-27,Annual,5,Equity Grant (MD/CEO Shemara Wikramanayake),For,For,2023,glasslewis_detail
Macquarie Group Ltd,2022-07-28,Annual,3,Remuneration Report,For,For,2022,glasslewis_detail
Macquarie Group Ltd,2022-07-28,Annual,4,Equity Grant (MD/CEO Shemara Wikramanayake),For,For,2022,glasslewis_detail
Macquarie Group Ltd,2021-07-29,Annual,3,Remuneration Report,For,For,2021,glasslewis_detail
Macquarie Group Ltd,2021-07-29,Annual,4,Approve Termination Benefits,For,For,2021,glasslewis_detail
Macquarie Group Ltd,2021-07-29,Annual,5,Equity Grant (MD/CEO S. Wikramanayake),For,For,2021,glasslewis_detail
Macquarie Group Ltd,2021-07-29,Annual,6,Approve issue of Macquarie Group Capital Notes 5,For,For,2021,glasslewis_detail
Macquarie Group Ltd,2020-07-30,Annual,3,Elect Stephen Mayne,Against,Against,2020,glasslewis_detail
Macquarie Group Ltd,2020-07-30,Annual,4,Remuneration Report,For,For,2020,glasslewis_detail
Macquarie Group Ltd,2020-07-30,Annual,5,Equity Grant (MD/CEO Shemara Wikramanayake),For,For,2020,glasslewis_detail
Macquarie Group Ltd,2020-07-30,Annual,6,Approve issue of shares on exchange of Macquarie Bank Capital Notes 2,For,For,2020,glasslewis_detail
Macquarie Group Ltd,2019-07-25,Annual,3,REMUNERATION REPORT,For,For,2019,glasslewis_detail
Macquarie Group Ltd,2019-07-25,Annual,4,Equity Grant (MD/CEO Shemara Wikramanayake),For,For,2019,glasslewis_detail
Macquarie Group Ltd,2019-07-25,Annual,5,Approve Increase in NEDs' Fee Cap,For,For,2019,glasslewis_detail
Macquarie Group Ltd,2019-07-25,Annual,6,Approve Issue of Securities,For,For,2019,glasslewis_detail
Macquarie Group Ltd,2018-07-26,Annual,3,Remuneration Report,For,For,2018,glasslewis_detail
Macquarie Group Ltd,2018-07-26,Annual,4,Equity Grant (MD/CEO Nicholas Moore),For,For,2018,glasslewis_detail
Macquarie Group Ltd,2018-07-26,Annual,5,Approve Issue of Securities,For,For,2018,glasslewis_detail
Macquarie Group Ltd,2017-07-27,Annual,3,Remuneration Report,For,For,2017,glasslewis_detail
Macquarie Group Ltd,2017-07-27,Annual,4,Approve Termination Benefits,For,For,2017,glasslewis_detail
Macquarie Group Ltd,2017-07-27,Annual,5,Equity Grant (MD/CEO Nicholas Moore),For,For,2017,glasslewis_detail
Macquarie Group Ltd,2017-07-27,Annual,6,Approve Issue of Securities,For,For,2017,glasslewis_detail
Macquarie Technology Group Ltd,2024-11-29,Annual,1,Remuneration Report,For,For,2024,glasslewis_detail
Macquarie Technology Group Ltd,2024-11-29,Annual,2,Re-elect Peter R. James,For,For,2024,glasslewis_detail
Macquarie Technology Group Ltd,2024-05-29,Special,1,Ratify Placement of Securities (June 2023 Placement),For,For,2024,glasslewis_detail
